Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Confidence	TP	FP	FN	Comments
1	Spectrogram 1	1	0.000000	1.000000	0	22000	1763063988_48000_12.flac	1.1413983e-06				
2	Spectrogram 1	1	1.000000	2.000000	0	22000	1763063988_48000_12.flac	1.4321203e-06				
3	Spectrogram 1	1	2.000000	3.000000	0	22000	1763063988_48000_12.flac	1.4957471e-05				
4	Spectrogram 1	1	3.000000	4.000000	0	22000	1763063988_48000_12.flac	2.807312e-06				
5	Spectrogram 1	1	4.000000	5.000000	0	22000	1763063988_48000_12.flac	1.4131884e-06				
6	Spectrogram 1	1	5.000000	6.000000	0	22000	1763063988_48000_12.flac	8.39298e-06				
7	Spectrogram 1	1	6.000000	7.000000	0	22000	1763063988_48000_12.flac	1.3261771e-05				
8	Spectrogram 1	1	7.000000	8.000000	0	22000	1763063988_48000_12.flac	2.6219504e-05				
9	Spectrogram 1	1	8.000000	9.000000	0	22000	1763063988_48000_12.flac	7.3663023e-06				
10	Spectrogram 1	1	9.000000	10.000000	0	22000	1763063988_48000_12.flac	2.6952923e-05				
11	Spectrogram 1	1	10.000000	11.000000	0	22000	1763063988_48000_12.flac	2.1997441e-06				
12	Spectrogram 1	1	11.000000	12.000000	0	22000	1763063988_48000_12.flac	1.7484024e-06				
13	Spectrogram 1	1	0.000000	1.000000	0	22000	1763063988_48000_12.flac	1.1413983e-06				
14	Spectrogram 1	1	1.000000	2.000000	0	22000	1763063988_48000_12.flac	1.4321203e-06				
15	Spectrogram 1	1	2.000000	3.000000	0	22000	1763063988_48000_12.flac	1.4957471e-05				
16	Spectrogram 1	1	3.000000	4.000000	0	22000	1763063988_48000_12.flac	2.807312e-06				
17	Spectrogram 1	1	4.000000	5.000000	0	22000	1763063988_48000_12.flac	1.4131884e-06				
18	Spectrogram 1	1	5.000000	6.000000	0	22000	1763063988_48000_12.flac	8.39298e-06				
19	Spectrogram 1	1	6.000000	7.000000	0	22000	1763063988_48000_12.flac	1.3261771e-05				
20	Spectrogram 1	1	7.000000	8.000000	0	22000	1763063988_48000_12.flac	2.6219504e-05				
21	Spectrogram 1	1	8.000000	9.000000	0	22000	1763063988_48000_12.flac	7.3663023e-06				
22	Spectrogram 1	1	9.000000	10.000000	0	22000	1763063988_48000_12.flac	2.6952923e-05				
23	Spectrogram 1	1	10.000000	11.000000	0	22000	1763063988_48000_12.flac	2.1997441e-06				
24	Spectrogram 1	1	11.000000	12.000000	0	22000	1763063988_48000_12.flac	1.7484024e-06				
